TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.compress.archivers.ArchiveStreamFactory,LINE;BRANCH,0.5581625908790482,208,111
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,LINE;BRANCH,0.35806088842477307,329,118
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,LINE;BRANCH,0.6787037037037037,336,231
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,LINE;BRANCH,0.05647706280788178,331,21
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,LINE;BRANCH,0.36762650265585683,366,142
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,LINE;BRANCH,0.7448304521276596,363,252
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,LINE;BRANCH,0.05816438514411136,659,31
