TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.compress.archivers.ArchiveStreamFactory,LINE;BRANCH,0.806439429704466,208,160
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,LINE;BRANCH,0.27640774359386294,329,85
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,LINE;BRANCH,0.8537037037037037,336,290
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,LINE;BRANCH,0.05647706280788178,331,21
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,LINE;BRANCH,0.45978939521013884,366,170
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,LINE;BRANCH,0.78671875,363,282
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,LINE;BRANCH,0.0600800939563719,659,41
