TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.fasterxml.jackson.databind.deser.CreatorProperty,LINE;BRANCH,0.8713527851458887,94,81
com.fasterxml.jackson.databind.deser.impl.FieldProperty,LINE;BRANCH,0.027777777777777776,112,1
com.fasterxml.jackson.databind.deser.impl.MethodProperty,LINE;BRANCH,0.07317952415284787,111,7
com.fasterxml.jackson.databind.deser.impl.ObjectIdReferenceProperty,LINE;BRANCH,0.684593023255814,67,48
com.fasterxml.jackson.databind.deser.impl.ObjectIdValueProperty,LINE;BRANCH,0.8529411764705882,51,44
com.fasterxml.jackson.databind.deser.impl.SetterlessProperty,LINE;BRANCH,0.05263157894736842,62,2
com.fasterxml.jackson.databind.deser.std.AtomicReferenceDeserializer,LINE;BRANCH,1.0,18,18
